date,segment,revenue_amount,transaction_count,avg_basket_size
2023-11-01,Champions,14250.00,18,791.67
2023-11-01,Loyal,8420.50,32,263.14
2023-11-01,At-Risk,3110.25,14,222.16
2023-11-01,New,1850.00,22,84.09
2023-11-01,Lost,640.00,5,128.00
2023-11-08,Champions,15100.75,20,755.04
2023-11-08,Loyal,7980.00,30,266.00
2023-11-08,At-Risk,2890.60,12,240.88
2023-11-08,New,2120.40,25,84.82
2023-11-08,Lost,510.00,4,127.50
2023-11-15,Champions,13750.00,17,808.82
2023-11-15,Loyal,8900.25,34,261.77
2023-11-15,At-Risk,3450.80,15,230.05
2023-11-15,New,1990.60,23,86.55
2023-11-15,Lost,720.00,6,120.00
2023-11-22,Champions,18940.00,24,789.17
2023-11-22,Loyal,9640.00,37,260.54
2023-11-22,At-Risk,2750.00,11,250.00
2023-11-22,New,3420.80,40,85.52
2023-11-22,Lost,480.00,4,120.00
2023-11-29,Champions,22100.50,28,789.30
2023-11-29,Loyal,11250.75,43,261.64
2023-11-29,At-Risk,1980.00,8,247.50
2023-11-29,New,4880.00,57,85.61
2023-11-29,Lost,390.00,3,130.00
2023-12-06,Champions,16300.00,21,776.19
2023-12-06,Loyal,8750.00,33,265.15
2023-12-06,At-Risk,3280.50,13,252.35
2023-12-06,New,2340.00,27,86.67
2023-12-06,Lost,560.00,4,140.00
